Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in  m/s
2016,6,5,21,0,15,230,22
2016,6,5,21,30,5,240,9
2016,6,5,22,0,5,270,11
2016,6,5,22,30,11,50,13
2016,6,5,23,0,11,50,13
2016,6,5,23,30,11,10,17
2016,6,6,0,0,11,350,13
2016,6,6,0,30,15,330,21
2016,6,6,1,0,13,340,18
2016,6,6,1,30,9,340,15
2016,6,6,2,0,11,330,15
2016,6,6,2,30,15,330,22
2016,6,6,3,0,13,330,17
2016,6,6,3,30,13,320,17
2016,6,6,4,0,11,330,13
2016,6,6,4,30,13,330,18
2016,6,6,5,0,13,310,18
2016,6,6,5,30,24,300,33
2016,6,6,6,0,18,310,24
2016,6,6,6,30,17,310,21
2016,6,6,7,0,9,290,17
2016,6,6,7,30,5,340,8
2016,6,6,8,0,2,320,5
2016,6,6,8,30,5,350,9
2016,6,6,9,0,9,340,13
2016,6,6,9,30,11,330,17
2016,6,6,10,0,9,340,15
2016,6,6,10,30,9,310,15
2016,6,6,11,0,22,250,31
2016,6,6,11,30,21,250,28
2016,6,6,12,0,17,240,30
2016,6,6,12,30,28,230,39
2016,6,6,13,0,26,240,39
2016,6,6,13,30,31,260,41
2016,6,6,14,0,33,250,41
2016,6,6,14,30,30,260,42
2016,6,6,15,0,18,230,22
2016,6,6,15,30,33,260,44
2016,6,6,16,0,24,260,33
2016,6,6,16,30,26,270,41
2016,6,6,17,0,17,260,22
2016,6,6,17,30,18,280,31
2016,6,6,18,0,22,270,35
2016,6,6,18,30,21,280,31
2016,6,6,19,0,11,300,17
2016,6,6,19,30,15,290,24
2016,6,6,20,0,13,320,21
2016,6,6,20,30,13,330,17
2016,6,6,21,0,13,330,18
2016,6,6,21,30,13,320,17
2016,6,6,22,0,11,330,15
2016,6,6,22,30,13,330,17
2016,6,6,23,0,11,310,15
2016,6,6,23,30,9,300,11
2016,6,7,0,0,5,290,8
2016,6,7,0,30,11,280,15
2016,6,7,1,0,13,290,18
2016,6,7,1,30,21,290,30
2016,6,7,2,0,11,310,17
2016,6,7,2,30,13,310,17
2016,6,7,3,0,13,320,22
2016,6,7,3,30,13,300,17
2016,6,7,4,0,11,310,15
2016,6,7,4,30,9,310,17
2016,6,7,5,0,9,10,11
2016,6,7,5,30,11,10,15
2016,6,7,6,0,17,10,21
2016,6,7,6,30,17,360,22
2016,6,7,7,0,13,360,17
2016,6,7,7,30,18,360,26
2016,6,7,8,0,21,360,24
2016,6,7,8,30,17,10,24
2016,6,7,9,0,17,20,21
2016,6,7,9,30,17,360,21
2016,6,7,10,0,17,350,21
2016,6,7,10,30,13,310,21
2016,6,7,11,0,22,280,33
2016,6,7,11,30,30,270,35
2016,6,7,12,0,31,270,39
2016,6,7,12,30,28,280,35
2016,6,7,13,0,26,280,37
2016,6,7,13,30,21,290,28
2016,6,7,14,0,17,270,28
2016,6,7,14,30,28,280,41
2016,6,7,15,0,21,290,37
2016,6,7,15,30,15,260,21
2016,6,7,16,0,18,260,24
2016,6,7,16,30,26,290,33
2016,6,7,17,0,21,290,28
2016,6,7,17,30,17,280,26
2016,6,7,18,0,9,300,17
2016,6,7,18,30,15,320,22
2016,6,7,19,0,9,340,13
2016,6,7,19,30,11,340,15
2016,6,7,20,0,9,330,50
2016,6,7,20,30,13,330,15
2016,6,7,21,0,13,340,17
2016,6,7,21,30,15,340,18
2016,6,7,22,0,13,340,17
2016,6,7,22,30,11,360,13
2016,6,7,23,0,9,360,11
2016,6,7,23,30,8,10,11
2016,6,8,0,0,8,20,9
2016,6,8,0,30,11,330,13
2016,6,8,1,0,8,310,11
2016,6,8,1,30,8,320,9
2016,6,8,2,0,13,290,21
2016,6,8,2,30,9,320,13
2016,6,8,3,0,4,320,8
2016,6,8,3,30,13,330,17
2016,6,8,4,0,8,340,9
2016,6,8,4,30,4,230,11
2016,6,8,5,0,0,0,5
2016,6,8,5,30,8,20,11
2016,6,8,6,0,5,20,9
2016,6,8,6,30,8,10,9
2016,6,8,7,0,11,30,15
2016,6,8,7,30,11,10,13
2016,6,8,8,0,11,330,13
2016,6,8,8,30,5,330,8
2016,6,8,9,0,8,80,13
2016,6,8,9,30,8,20,11
2016,6,8,10,0,13,330,15
2016,6,8,10,30,9,350,13
2016,6,8,11,0,8,330,13
2016,6,8,11,30,8,320,15
2016,6,8,12,0,26,280,35
2016,6,8,12,30,31,270,42
2016,6,8,13,0,26,270,39
2016,6,8,13,30,26,280,35
2016,6,8,14,0,22,270,30
2016,6,8,14,30,21,290,28
2016,6,8,15,0,11,250,15
2016,6,8,15,30,9,330,11
2016,6,8,16,0,9,310,11
2016,6,8,16,30,8,350,9
2016,6,8,17,0,5,350,8
2016,6,8,17,30,9,360,11
2016,6,8,18,0,0,0,5
2016,6,8,18,30,8,30,9
2016,6,8,19,0,8,50,9
2016,6,8,19,30,11,40,17
2016,6,8,20,0,5,350,9
2016,6,8,20,30,11,40,15
2016,6,8,21,0,11,360,17
2016,6,8,21,30,11,10,15
2016,6,8,22,0,17,40,21
2016,6,8,22,30,11,30,15
2016,6,8,23,0,15,30,18
2016,6,8,23,30,13,30,17
2016,6,9,0,0,8,10,11
2016,6,9,0,30,8,360,11
2016,6,9,1,0,11,30,15
2016,6,9,1,30,21,30,30
2016,6,9,2,0,21,30,26
2016,6,9,2,30,13,350,17
2016,6,9,3,0,17,10,24
2016,6,9,3,30,13,40,24
2016,6,9,4,0,17,350,24
2016,6,9,4,30,13,360,17
2016,6,9,5,0,13,30,17
2016,6,9,5,30,17,60,21
2016,6,9,6,0,18,20,24
2016,6,9,6,30,21,10,28
2016,6,9,7,0,24,10,33
2016,6,9,7,30,21,360,28
2016,6,9,8,0,21,20,26
2016,6,9,8,30,22,10,28
2016,6,9,9,0,22,10,31
2016,6,9,9,30,18,360,26
2016,6,9,10,0,17,360,21
2016,6,9,10,30,21,330,28
2016,6,9,11,0,26,330,42
2016,6,9,11,30,26,340,31
2016,6,9,12,0,28,330,41
2016,6,9,12,30,35,290,55
2016,6,9,13,0,37,290,54
2016,6,9,13,30,30,300,37
2016,6,9,14,0,24,310,33
2016,6,9,14,30,22,300,33
2016,6,9,15,0,24,300,35
2016,6,9,15,30,18,300,24
2016,6,9,16,0,15,300,21
2016,6,9,16,30,21,300,28
2016,6,9,17,0,17,320,30
2016,6,9,17,30,17,330,24
2016,6,9,18,0,17,40,22
2016,6,9,18,30,18,40,22
2016,6,9,19,0,18,50,24
2016,6,9,19,30,21,20,26
2016,6,9,20,0,22,340,31
2016,6,9,20,30,17,350,30
2016,6,9,21,0,22,310,28
2016,6,9,21,30,18,310,28
2016,6,9,22,0,9,290,15
2016,6,9,22,30,13,280,22
2016,6,9,23,0,5,20,9
2016,6,9,23,30,21,300,26
2016,6,10,0,0,21,290,28
2016,6,10,0,30,22,290,30
2016,6,10,1,0,18,300,26
2016,6,10,1,30,13,310,17
2016,6,10,2,0,13,310,18
2016,6,10,2,30,11,320,13
2016,6,10,3,0,11,320,15
2016,6,10,3,30,11,320,17
2016,6,10,4,0,11,340,15
2016,6,10,4,30,9,70,13
2016,6,10,5,0,9,40,11
2016,6,10,5,30,13,20,17
2016,6,10,6,0,11,350,15
2016,6,10,6,30,5,150,9
2016,6,10,7,0,0,0,0
2016,6,10,7,30,5,290,9
2016,6,10,8,0,2,70,11
2016,6,10,8,30,4,180,8
2016,6,10,9,0,2,240,8
2016,6,10,9,30,5,250,8
2016,6,10,10,0,5,10,8
2016,6,10,10,30,4,90,8
2016,6,10,11,0,5,30,13
2016,6,10,11,30,18,270,26
2016,6,10,12,0,21,280,24
2016,6,10,12,30,21,270,28
2016,6,10,13,0,21,300,30
2016,6,10,13,30,22,300,31
2016,6,10,14,0,24,300,30
2016,6,10,14,30,28,310,35
2016,6,10,15,0,26,300,37
2016,6,10,15,30,28,290,41
2016,6,10,16,0,18,300,31
2016,6,10,16,30,17,290,24
2016,6,10,17,0,13,290,21
2016,6,10,17,30,15,300,17
2016,6,10,18,0,13,290,18
2016,6,10,18,30,11,310,13
2016,6,10,19,0,11,340,13
2016,6,10,19,30,13,310,15
2016,6,10,20,0,15,290,18
2016,6,10,20,30,11,320,15
2016,6,10,21,0,11,310,13
2016,6,10,21,30,11,310,13
2016,6,10,22,0,13,340,15
2016,6,10,22,30,11,310,15
2016,6,10,23,0,13,310,15
2016,6,10,23,30,17,290,22
2016,6,11,0,0,13,280,17
2016,6,11,0,30,8,310,9
2016,6,11,1,0,13,270,18
2016,6,11,1,30,13,240,17
2016,6,11,2,0,17,250,22
2016,6,11,2,30,17,260,21
2016,6,11,3,0,13,320,17
2016,6,11,3,30,15,300,18
2016,6,11,4,0,13,360,17
2016,6,11,4,30,11,340,21
2016,6,11,5,0,11,20,15
2016,6,11,5,30,9,360,11
2016,6,11,6,0,8,10,9
2016,6,11,6,30,5,360,8
2016,6,11,7,0,0,0,2
2016,6,11,7,30,2,340,8
2016,6,11,8,0,5,330,9
2016,6,11,8,30,8,350,9
2016,6,11,9,0,8,360,11
2016,6,11,9,30,9,20,13
2016,6,11,10,0,11,340,21
2016,6,11,10,30,22,290,35
2016,6,11,11,0,17,270,24
2016,6,11,11,30,22,280,31
2016,6,11,12,0,28,270,37
2016,6,11,12,30,33,270,41
2016,6,11,13,0,17,270,24
2016,6,11,13,30,22,310,28
2016,6,11,14,0,21,280,30
2016,6,11,14,30,21,280,33
